controller,seed,overshoot_pct,rise_time_hr,settling_time_hr,time_in_30pct,time_in_10pct,IAE,ISE,RMSE,control_energy
APID,1,0,38,60,60.9756097560976,51.219512195122,527.896076527956,7237.61003145165,9.79212452075303,0.51268419384762
Optimized fixed PID,1,0,NaN,NaN,0,0,1580.24686118028,31237.5773396494,19.7623643840395,22.6433221617307
