seed,delta_RMSE,delta_ISE,delta_overshoot,delta_time_in_band_pct,delta_EF_energy_h,delta_max_amplitude
1,-0.271468095402849,-304.79129262785,-0.280854085334319,7.11471975183342,9.44272285311031e-05,-0.000570325347112648
2,-0.0252310907019915,-27.1011100350597,-0.265960954349332,-0.617291452329358,1.47619083027371e-06,-0.000306456723808367
3,-0.0580871877100542,-59.927986479659,0.0600921980429447,4.86058859007341,3.45196312806998e-05,4.85880522369461e-05
4,0.0154077688267389,12.9337851752011,-1.78029620235892,-0.885728859121919,-1.34610581959209e-05,-0.00102063572251139
5,0.138344989179952,132.93154110428,0.503972051650358,-2.10163121471138,-1.06590585437156e-05,0.000362582412066381
