Evaluation,Start,Kp,Ki,Kd,Objective,TrackingCost,AmplitudeCost,A_Saturation_pct,SuccessfulCases,FailedCases,Status,Timestamp
54,1,0.0218031968389322,1.08717792647002e-05,1.93695069150254e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:42:44
55,1,0.0218017048364167,1.08768724288376e-05,1.9389200446933e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:45:27
56,1,0.0217874949078896,1.08739991377696e-05,1.93444396022136e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:46:14
57,1,0.021798152418801,1.08761540516862e-05,1.93779994302548e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:47:01
58,1,0.0217903014231874,1.08772642862023e-05,1.93654551306653e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:47:48
59,1,0.0217956301761238,1.08730523848383e-05,1.93666126869965e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:48:33
60,1,0.0217948841565276,1.08755989669022e-05,1.93764550281373e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:49:17
61,1,0.0217877791131843,1.08741623774005e-05,1.93540765973986e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:50:01
62,1,0.0217931079117677,1.0875239805931e-05,1.93708577196442e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:50:45
63,1,0.0217891823728183,1.08757948767069e-05,1.9364587013992e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:51:30
64,1,0.0217918467714747,1.08736889876299e-05,1.93651657536243e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:52:16
65,1,0.0217914737571131,1.08749622786613e-05,1.93700858184425e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:53:03
66,1,0.0217879212157292,1.08742439979182e-05,1.93588971003238e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:53:49
67,1,0.0217905856257794,1.08747827050766e-05,1.93672879637815e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:54:35
68,1,0.0217886228460422,1.08750602288444e-05,1.93641529719107e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:55:20
69,1,0.0217899550509078,1.08740072997066e-05,1.93644423320942e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:56:04
70,1,0.0217897685425887,1.08746439452222e-05,1.93669020881215e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:56:49
71,1,0.021787992266976,1.08742848083526e-05,1.93613078532931e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:57:35
72,1,0.0217893244746878,1.08745541601551e-05,1.93655033606404e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:58:20
73,1,0.0217883430822564,1.0874692919134e-05,1.93639359549339e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:59:05
74,1,0.0217890091860724,1.08741664584152e-05,1.93640806326174e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 12:59:51
75,1,0.0217889159316286,1.08744847811731e-05,1.93653104415428e-08,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:00:35
76,2,0.005,1e-06,1.00000018420682e-10,2082989.85227005,2082989.85225993,1.01202022234086e-05,0,1,0,valid,2026-08-06 13:02:04
77,2,0.00542971494285472,1e-06,1.00000018420682e-10,2080933.77138171,2080933.77136999,1.17202679834847e-05,0,1,0,valid,2026-08-06 13:02:49
78,2,0.005,1.04053253175929e-06,1.00000018420682e-10,2082900.63903264,2082900.63902245,1.01896803848158e-05,0,1,0,valid,2026-08-06 13:03:35
79,2,0.005,1e-06,1.00000007333405e-10,2082989.85227005,2082989.85225993,1.01202022234086e-05,0,1,0,valid,2026-08-06 13:04:19
80,2,0.00528365050581508,1.02685050195919e-06,1.00000046270668e-10,2081587.6837575,2081587.68374629,1.12115203140534e-05,0,1,0,valid,2026-08-06 13:05:05
81,2,0.00547903330565474,1.04513172724381e-06,1.00000034038656e-10,2080580.10432801,2080580.10431602,1.19954259810917e-05,0,1,0,valid,2026-08-06 13:05:51
82,2,0.00573036295300261,1.06841985504372e-06,1.00000046270668e-10,2079234.06673811,2079234.06672507,1.30422646692037e-05,0,1,0,valid,2026-08-06 13:06:37
83,2,0.00598960485519922,1.02232810459015e-06,1.00000062898333e-10,2077968.60850802,2077968.608494,1.40259723169258e-05,0,1,0,valid,2026-08-06 13:07:22
84,2,0.00653185368114288,1.01334029950256e-06,1.00000116226699e-10,2074928.41479355,2074928.41477716,1.63877654806878e-05,0,1,0,valid,2026-08-06 13:08:07
85,2,0.00653185368114288,1.02685050195919e-06,1.00000046270668e-10,2074890.49514065,2074890.49512423,1.64172222553311e-05,0,1,0,valid,2026-08-06 13:08:52
86,2,0.00722422947919427,1.02685050195919e-06,1.00000046270668e-10,2070697.62646187,2070697.6264422,1.96740789694231e-05,0,1,0,valid,2026-08-06 13:09:36
87,2,0.00764890412736625,1.07313642124668e-06,1.00000214769576e-10,2067822.03943981,2067822.0394179,2.19068492340301e-05,0,1,0,valid,2026-08-06 13:10:22
88,2,0.00894452263963084,1.11158862416013e-06,1.00000733342908e-10,2058469.81449756,2058469.81446841,2.91548275386818e-05,0,1,0,valid,2026-08-06 13:11:08
89,2,0.00963637741311361,1.03139199111694e-06,1.00000539477564e-10,2053452.10658399,2053452.10655095,3.30409223686426e-05,0,1,0,valid,2026-08-06 13:11:53
90,2,0.0120299522144656,1.01334029950256e-06,1.00001842083204e-10,2032754.13426737,2032754.13421834,4.90227894429428e-05,0,1,0,valid,2026-08-06 13:12:38
91,2,0.0125864304164237,1.08740532344526e-06,1.000013551113e-10,2027133.55154714,2027133.55149378,5.33531990028626e-05,0,1,0,valid,2026-08-06 13:13:22
92,2,0.0162930693446704,1.12634297523114e-06,1.00004627161242e-10,1987467.09610566,1987467.09602189,8.37726525235254e-05,0,1,0,valid,2026-08-06 13:14:06
93,2,0.0184206523929112,1.14128309798e-06,1.00073358025547e-10,1962167.66496534,1962167.66486226,0.000103076576921497,0,1,0,valid,2026-08-06 13:14:50
94,2,0.0248768474644564,1.20294277029165e-06,1.0295775928652e-10,1877342.6855053,1877342.68533791,0.00016739122296399,4.8780487804878,1,0,valid,2026-08-06 13:28:35
95,2,0.0272113048007261,1.11158862416012e-06,1.01168305498971e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:29:21
96,2,0.0353604166799744,1.11158862416012e-06,1.57046022153742e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:30:07
97,2,0.03303633899126,1.29570242657655e-06,1.39683756384867e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:30:53
98,2,0.0381390353451253,1.28071911735277e-06,7.67414338694272e-05,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:31:38
99,2,0.0394489584701182,1.25063352806522e-06,1.34070446064672e-07,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:32:23
100,2,0.0365946510973731,1.23854625504627e-06,1.00303845419294e-09,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:33:08
101,2,0.0292490938563334,1.21470175562282e-06,1.13887522783124e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:33:54
102,2,0.034960374364165,1.23254403987739e-06,3.20782352169096e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:34:38
103,2,0.0302446396913896,1.20031186903578e-06,1.06469063802977e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:35:23
104,2,0.0332628295696282,1.19332270762855e-06,2.09761492586306e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:36:08
105,2,0.032295599683574,1.17344271551085e-06,1.18930733533234e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:36:52
106,2,0.0282416778170973,1.16206208149255e-06,1.03970034317337e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:37:38
107,2,0.0313273898364846,1.17058770166207e-06,1.12691045494106e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:38:23
108,2,0.0287552297104753,1.15514316510269e-06,1.02736598818169e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:39:07
109,2,0.0303693649123025,1.15176856978402e-06,1.09881251118246e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:39:51
110,2,0.0298412074866879,1.1421185931192e-06,1.04601919081176e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:40:36
111,2,0.0277292194803703,1.13655956544909e-06,1.02149778825032e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:41:23
112,2,0.029323327829276,1.14072642331129e-06,1.03801540563452e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:42:07
113,2,0.0279896273149768,1.13316734736794e-06,1.01786786425088e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:42:51
114,2,0.0288201324271024,1.13150935995072e-06,1.03367373461144e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:43:37
115,2,0.028546184214305,1.12675546065787e-06,1.0231305333003e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:44:22
116,2,0.0274709254295426,1.12400826407805e-06,1.01584288063463e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:45:08
117,2,0.0282797112764316,1.12606806458338e-06,1.02104008252976e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:45:53
118,2,0.0276019937761094,1.12232874757947e-06,1.01444615537427e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:46:38
119,2,0.0280226570958448,1.12150699682626e-06,1.01981013089383e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:47:22
120,2,0.027883427175604,1.11914764451457e-06,1.01643188619434e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:48:06
121,2,0.0273412785260476,1.1177820629788e-06,1.01360395482872e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:48:50
122,2,0.0277484496019642,1.11880610068019e-06,1.01567372395671e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:49:34
123,2,0.0274070230850783,1.1169464258872e-06,1.01299093438334e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:50:19
124,2,0.0276186451958249,1.11653735074593e-06,1.01520969586698e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:51:04
125,2,0.0275484961810887,1.11536205218595e-06,1.0138542642047e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:51:50
126,2,0.0272763322105066,1.11468125782252e-06,1.0126067701453e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:52:35
127,2,0.027480591703417,1.11519181657993e-06,1.01353120390811e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:53:19
128,2,0.0273092563538398,1.11426446620689e-06,1.01231955714918e-10,1874894.03259188,1874894.03242263,0.00016925,75.609756097561,1,0,valid,2026-08-06 13:54:03
